episode,phase,episode_reward_sum,router_alpha,gate_entropy,gate_max,gate_static_weight,gate_balance_loss,expert_usage_l1_delta,actor_grad_norm,policy_loss,lr_experts,lr_router,expert_0_mean,expert_1_mean,expert_2_mean,expert_3_mean,expert_4_mean,primary/load_tracking/nmbe_pct,primary/load_tracking/cv_rmse_pct,primary/thermal_comfort/portfolio_exceedance_pct
1,router_only,-6594.251504778862,0.5,1.2234627157449722,0.6019530385732651,0.6019530385732651,0.003170222125481814,0.0,0.09323407355695963,-0.0003996801489847712,0.0,0.0001,0.21882061362266542,0.20058762952685355,0.30621884688735007,0.13311568945646285,0.14125722460448742,-0.5354632449238813,36.36447465561465,23.311827956989248
2,router_only,-6362.633034706116,0.503333330154419,1.215003091096878,0.6044174611568451,0.6044174611568451,0.0024788329494185744,0.03466125577688217,0.08837043074890971,9.805013396544383e-05,0.0,0.0001,0.21678576469421387,0.20219749212265015,0.32003995329141616,0.11781990714371204,0.14315688014030456,-0.36377395287280445,35.3442453611574,22.5752688172043
3,router_only,-6207.7692766189575,0.5066666603088379,1.2008608013391495,0.6074051111936569,0.6074051111936569,0.0019832754624076188,0.035657598823308975,0.09291142225265503,0.00014826011970399123,0.0,0.0001,0.21417673006653787,0.20426820032298565,0.33363748118281367,0.10260014310479164,0.1453174442052841,0.18334055703640173,35.06864182075056,21.77956989247312
4,router_only,-6084.14164763689,0.5099999904632568,1.1782300263643264,0.6123707294464111,0.6123707294464111,0.001521952441544272,0.039970125630497955,0.09886050131171942,-0.0007046024613373448,0.0,0.0001,0.20774087607860564,0.20534310676157475,0.3525476396083832,0.09036416076123714,0.1440042197704315,0.6752952665298089,34.5276291385779,21.655913978494624
5,router_only,-5706.020360827446,0.5133333206176758,1.1483237385749816,0.6190810173749923,0.6190810173749923,0.0012081129214493557,0.04791507422924039,0.09982577487826347,-0.0008358757261703431,0.0,0.0001,0.1978573888540268,0.2062944009900093,0.3755538836121559,0.08096564039587975,0.13932869136333464,0.9818615755354296,34.70281141274679,20.043010752688172
6,router_only,-5708.40584397316,0.5166666507720947,1.1146923363208772,0.6250538200139999,0.6250538200139999,0.0011325467901770025,0.051483021676540355,0.10396497454494238,-0.0004850580511629232,0.0,0.0001,0.18796565793454648,0.20469434820115567,0.40129539370536804,0.07310490049421788,0.13293970339000225,1.462408137947947,34.277095070205434,20.241935483870968
7,router_only,-5464.837490677834,0.5199999809265137,1.065763035416603,0.6346651792526246,0.6346651792526246,0.0013356084557017312,0.06642429940402508,0.11461916826665401,-0.0018184454042057042,0.0,0.0001,0.18175273090600969,0.19603474698960782,0.4345075458288193,0.06667486131191254,0.12103012353181838,1.3458104709626895,34.61005220086931,19.161290322580644
8,router_only,-5442.831390082836,0.5233333110809326,1.0353486388921738,0.6395060941576958,0.6395060941576958,0.001641323321382515,0.041067010257393094,0.10585121922194958,-0.0016477654280606657,0.0,0.0001,0.18076133877038955,0.18844276182353498,0.45504104942083357,0.0617939910851419,0.11396086439490319,1.288132166982984,33.785740051152374,19.236559139784944
9,router_only,-5478.622079491615,0.5266666412353516,1.0045246630907059,0.646212013065815,0.646212013065815,0.0019391123234527186,0.033605755213648156,0.10350715927779675,-0.001774872824898921,0.0,0.0001,0.18283125050365925,0.18262491300702094,0.4697740197181702,0.05785030703991652,0.10691952407360077,1.528762602378706,33.18739947852332,19.440860215053764
10,router_only,-5467.902054786682,0.5299999713897705,0.9812845826148987,0.6504115715622902,0.6504115715622902,0.002312188735231757,0.023343932628631603,0.10198726430535317,-0.00183740920292621,0.0,0.0001,0.17856094911694526,0.1839030772447586,0.48016781732439995,0.055638278089463714,0.1017298836261034,1.5454868237127248,33.24096157935172,19.29032258064516
11,router_only,-5172.4482553601265,0.5333333611488342,0.948703607916832,0.6530988395214081,0.6530988395214081,0.003199830197263509,0.03788965195417403,0.10137191358953715,-0.0018458637379808352,0.0,0.0001,0.17066634073853493,0.1826338067650795,0.4991126410663128,0.05251040328294039,0.09507680907845498,2.1201607657132437,33.42628169666139,17.940860215053764
12,router_only,-5157.3220155239105,0.5366666913032532,0.924544820189476,0.6534985587000847,0.6534975841641426,0.00419959164573811,0.034059458971023616,0.1069805834442377,-0.0016244553029537202,0.0,0.0001,0.16431197449564933,0.17403659783303738,0.5161423712968827,0.05100279822945595,0.0945062605664134,1.8847155436825604,33.33255240908796,18.0
13,router_only,-5231.8422266840935,0.5400000214576721,0.8976292386651039,0.6581929638981819,0.6581835329532624,0.005035731627140194,0.026201873924583195,0.10380072556436062,-0.0016558187980990624,0.0,0.0001,0.16146084405481814,0.1663761954754591,0.5292433083057404,0.04961089296266437,0.09330876171588898,1.5685272750837913,33.866267222986714,18.306451612903228
14,router_only,-4933.684339225292,0.5433333516120911,0.8552330359816551,0.6636434853076935,0.6635913670063018,0.006515839870553463,0.04138041557744136,0.09956600926816464,-0.0016391129756812006,0.0,0.0001,0.15364800542593002,0.1617061447352171,0.5499335214495659,0.04757028445601463,0.08714205715805293,2.0905262832660507,33.11628982842703,17.172043010752688
15,router_only,-4943.442418515682,0.54666668176651,0.8325030446052551,0.667362205684185,0.6672892421483994,0.007195769110694528,0.018853586539626106,0.09415862374007702,-0.0014353520426084287,0.0,0.0001,0.15252224393188954,0.15825675018131732,0.5593603074550628,0.04605275262147188,0.08380794450640679,1.616856263980649,33.09353271020219,17.338709677419356
16,router_only,-4940.520738482475,0.550000011920929,0.8179637864232063,0.6693411722779274,0.669256491959095,0.007553560950327665,0.010092852357775066,0.0895499287173152,-0.00129882027667918,0.0,0.0001,0.15183965489268303,0.15827835202217103,0.5643851324915886,0.04502944303676486,0.08046741764992475,1.768830299797683,32.57341254467526,17.32258064516129
17,router_only,-5236.959564805031,0.5533333420753479,0.8037111610174179,0.6679248809814453,0.667701530456543,0.008327385492157191,0.01709509948268531,0.09621430514380336,-0.0017826231563958573,0.0,0.0001,0.1474192500114441,0.15698004737496377,0.5729326844215393,0.04434825759381056,0.07831976506859065,1.8851269253731169,33.53100725735337,18.301075268817204
18,router_only,-5035.950135588646,0.5566666722297668,0.8062332525849343,0.666837315261364,0.6665922030806541,0.008112626837100834,0.011172382254153568,0.10085150711238385,-0.0015081596880918368,0.0,0.0001,0.14692200310528278,0.1625662349164486,0.5706920742988586,0.043817352037876844,0.07600233294069766,1.7934358984693173,33.04083498624183,17.591397849462364
