primary_rank,primary_rank_score,architecture,grouping_method_short,grouping_feature_set_short,feature_group,seed,experiment,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_degree_hours_per_building_day,primary_comfort_exceedance_pct,primary_comfort_degree_hours_total,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
93,82.25,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_nmbe5_cvrmse5_comfort10_binary10_degree15,capacity cooling reward/season ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed2,84.37,-45.3835,45.3835,1.4039,9.9833,1052.9465,1797.0,71.88,216.0,-3367.9198,
94,82.5,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_comfort15_binary30_degree10,capacity cooling reward/season ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_comfort15_binary30_degree10_seed0,79.1358,-47.0095,47.0095,1.6311,10.7389,1223.3396,1933.0,77.32,337.0,-10514.5095,
95,83.3333,TarMAC hybrid,agglomerative,3f_H_heatmean_tempstd,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed2,53.8817,-1.8676,1.8676,8.5041,24.4464,5952.8597,4107.0,164.28,524.0,-6699.9838,
96,83.5,TarMAC hybrid,balanced_spectral,capacity_load_5f,compact fixed grouping,0.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_5f_linear_vt_500_seed0,50.6502,2.9888,2.9888,11.2675,30.4405,7887.2472,5114.0,204.56,538.0,-8311.9071,
98,84.8333,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_comfort15_binary30_degree10,capacity cooling reward/season ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_comfort15_binary30_degree10_seed1,83.5652,-46.3888,46.3888,1.8787,13.0778,1409.0378,2354.0,94.16,395.0,-12687.5566,
99,84.9167,TarMAC soft-router,soft_router,dynamic_router_legacy,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_vt_500_final_stable_temperature_1_warmup_100,52.5414,-5.7213,5.7213,10.7365,21.8869,7515.5357,3677.0,147.08,400.0,-6535.0646,
100,85.0833,TarMAC hybrid,agglomerative,capacity_load_4f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_4f_linear_vt_500_final,53.8637,1.3417,1.3417,7.7942,28.5238,5455.9621,4792.0,191.68,588.0,-7373.1419,
101,85.4167,PowerNet global,gmm,static_operational,previous larger/full,42.0,mappo_grouped_powernet_global_gmm_static_operational_vt_500_final,47.6097,-12.5494,12.5494,39.0239,36.3452,27316.7238,6106.0,244.24,574.0,-13682.2484,
102,85.9167,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep,capacity cooling reward/season ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_seed2,82.6806,-46.552,46.552,1.9818,11.5833,1486.3212,2085.0,83.4,443.0,-2521.1171,
103,88.1667,TarMAC hybrid,agglomerative,3f_B_hvac_nslmean,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed0,57.7885,2.118,2.118,10.3455,23.6845,7241.8812,3979.0,159.16,526.0,-6950.1633,
104,88.8333,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_nmbe1_cvrmse1_comfort15_binary30_degree15,capacity cooling reward/season ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed2,80.6438,-47.2893,47.2893,2.3443,14.7944,1758.2535,2663.0,106.52,423.0,-15917.8203,
105,89.0,TarMAC soft-router,soft_router,dynamic_capacity_router_5f,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_prior05_vt_500_final,52.7155,-3.6121,3.6121,7.2909,25.0774,5103.6407,4213.0,168.52,445.0,-6522.1759,
106,89.4167,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_nmbe1_cvrmse1_comfort15_binary30_degree15,capacity cooling reward/season ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed0,79.6605,-48.9263,48.9263,2.2104,14.7278,1657.7883,2651.0,106.04,435.0,-15637.7738,
107,89.5833,PowerNet global,agglomerative,capacity_load_4f,compact fixed grouping,42.0,mappo_grouped_powernet_global_agglomerative_capacity_load_4f_vt_500_final,52.306,-2.4823,2.4823,17.1033,33.625,11972.3151,5649.0,225.96,539.0,-9665.5722,
108,90.3333,TarMAC soft-router,soft_router,dynamic_router_legacy,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_vt_500_final_balanced_temperature0.7_warmup50,49.6939,-7.8848,7.8848,26.8056,31.4881,18763.9259,5290.0,211.6,551.0,-10883.3506,
109,90.4167,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_nmbe5_cvrmse5_comfort10_binary10_degree15,capacity cooling reward/season ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed0,75.0526,-49.1196,49.1196,2.3789,15.2556,1784.1546,2746.0,109.84,443.0,-5413.732,
111,91.6667,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_nmbe1_cvrmse1_comfort15_binary30_degree15,capacity cooling reward/season ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed1,80.3699,-47.4169,47.4169,2.3401,14.3278,1755.0548,2579.0,103.16,493.0,-15532.6234,
112,93.75,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep,capacity cooling reward/season ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_seed0,77.0318,-48.8949,48.8949,3.0941,16.9222,2320.5866,3046.0,121.84,441.0,-3720.7808,
113,94.25,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_nmbe5_cvrmse5_comfort10_binary10_degree15,capacity cooling reward/season ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed1,84.9921,-46.9298,46.9298,2.7914,16.25,2093.5437,2925.0,117.0,457.0,-6056.8156,
115,94.5833,TarMAC hybrid,agglomerative,capacity_load_3f_nmbe5_cvrmse5_comfort10_binary10_degree15,capacity load reward ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed0,49.9431,10.0105,10.0105,27.2328,31.0238,19062.987,5212.0,208.48,651.0,-39349.516,
116,95.0833,TarMAC hybrid,balanced_spectral,capacity_load_5f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_5f_linear_vt_500_seed1,51.0235,7.6909,7.6909,17.4866,25.5119,12240.618,4286.0,171.44,615.0,-8429.2404,
117,95.5833,TarMAC soft-router,soft_router,dynamic_capacity_router_5f,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_vt_500_final,50.696,-6.7877,6.7877,19.4991,37.9167,13649.3942,6370.0,254.8,517.0,-10780.6567,
118,96.3333,PowerNet global,gmm,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_powernet_global_gmm_capacity_load_5f_vt_500_final,52.6427,4.94,4.94,15.8773,23.244,11114.1433,3905.0,156.2,641.0,-7807.2103,
119,98.25,TarMAC hybrid,agglomerative,capacity_load_3f_nmbe1_cvrmse1_comfort15_binary30_degree15,capacity load reward ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed0,50.0992,15.5613,15.5613,28.6063,34.7619,20024.3965,5840.0,233.6,653.0,-72382.2974,
120,99.0,TarMAC soft-router,soft_router,dynamic_no_capacity_router_5f,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_agglomerative_5f_no_capacity_router_vt_500_final,52.8232,-6.3379,6.3379,16.5223,33.4583,11565.6061,5621.0,224.84,439.0,-9525.049,
122,99.75,TarMAC soft-router,soft_router,dynamic_three_stage_3f_shared,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_three_stage_shared_3f_vt_1500_seed42,52.4424,-7.48,7.48,9.273,31.3512,6491.0884,5267.0,210.68,490.0,-7892.2378,
124,102.0833,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep,capacity cooling reward/season ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_seed1,84.186,-46.9089,46.9089,3.2031,17.1889,2402.3199,3094.0,123.76,647.0,-3790.3168,
125,102.25,TarMAC hybrid,agglomerative,3f_D_heatmean_nslmax,3f feature ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed2,57.3398,5.5003,5.5003,13.525,23.256,9467.5288,3907.0,156.28,560.0,-7421.1642,
126,103.0833,PowerNet global,kmeans,operational_profile,previous larger/full,42.0,mappo_grouped_powernet_global_kmeans_operational_profile_vt_500_final,53.3941,3.7482,3.7482,11.4167,31.3571,7991.671,5268.0,210.72,628.0,-8419.4369,
127,103.9167,PowerNet global,agglomerative,static_operational,previous larger/full,42.0,mappo_grouped_powernet_global_agglomerative_static_operational_vt_500_final,58.8911,-2.8959,2.8959,24.4894,39.4464,17142.6142,6627.0,265.08,578.0,-11970.8511,
128,109.5833,TarMAC hybrid,agglomerative,capacity_load_3f_nmbe5_cvrmse5_comfort10_binary10_degree15,capacity load reward ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe5_cvrmse5_comfort10_binary10_degree15_seed1,52.8494,-11.4626,11.4626,32.5827,33.4524,22807.9152,5620.0,224.8,639.0,-44048.6488,
130,130.0,TarMAC SOC regrouping,source,soc_source_3f,policy-induced SOC regrouping,,mappo_grouped_tarmac_soc_regrouping_source_3f_vt_january,,,,,,,,,,,
