primary_rank,primary_rank_score,architecture,grouping_method_short,grouping_feature_set_short,feature_group,seed,experiment,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_degree_hours_per_building_day,primary_comfort_exceedance_pct,primary_comfort_degree_hours_total,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
23,40.9167,TarMAC hybrid,agglomerative,3f_C_heatmax_nslmean,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed0,47.2344,-2.3607,2.3607,6.9222,17.2262,4845.5347,2894.0,115.76,474.0,-5073.6016,
24,41.75,TarMAC SOC regrouping,agglomerative,soc6f,policy-induced SOC regrouping,1.0,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed1,42.9605,0.0733,0.0733,27.0976,33.9226,18968.334,5699.0,227.96,620.0,-11320.0513,
25,41.8333,TarMAC hybrid,agglomerative,capacity_load_3f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed1,49.2488,0.3626,0.3626,6.2023,21.006,4341.6087,3529.0,141.16,531.0,-5723.6764,
26,42.1667,TarMAC soft-router,soft_router,dynamic_twostage_3f_expert,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp07_prior07_vt_500_final,46.5446,1.0159,1.0159,6.5961,22.0476,4617.2564,3704.0,148.16,605.0,-5910.1338,
27,42.9167,PowerNet global,agglomerative,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_powernet_global_agglomerative_capacity_load_5f_vt_500_final,50.7454,0.0322,0.0322,4.3463,20.0595,3042.3907,3370.0,134.8,461.0,-5220.9771,
28,44.0,TarMAC hybrid,agglomerative,3f_D_heatmean_nslmax,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed0,52.1622,0.2288,0.2288,4.1198,17.7083,2883.8678,2975.0,119.0,471.0,-4771.82,
30,45.0833,TarMAC hybrid,agglomerative,capacity_load_3f_comfort15_binary30_degree10,capacity load reward ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_comfort15_binary30_degree10_seed0,49.5485,1.3201,1.3201,4.0898,17.7321,2862.8887,2979.0,119.16,503.0,-18602.8778,
31,45.0833,TarMAC hybrid,agglomerative,capacity_load_3f,compact fixed grouping,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed2,52.4464,0.4225,0.4225,3.8659,17.5476,2706.1263,2948.0,117.92,415.0,-4733.7691,
32,46.25,TarMAC hybrid,balanced_spectral,capacity_load_3f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_3f_linear_vt_500_seed1,52.363,-0.864,0.864,4.6172,17.5833,3232.0429,2954.0,118.16,354.0,-4804.5401,
33,47.0,TarMAC soft-router,soft_router,dynamic_twostage_3f_router_only,dynamic soft-router,2.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed2,51.7375,0.8915,0.8915,4.0382,18.0417,2826.7164,3031.0,121.24,428.0,-4832.6466,
