episode,phase,episode_reward_sum,router_alpha,gate_entropy,gate_max,gate_static_weight,gate_balance_loss,expert_usage_l1_delta,actor_grad_norm,policy_loss,lr_experts,lr_router,expert_0_mean,expert_1_mean,expert_2_mean,expert_3_mean,expert_4_mean,primary/load_tracking/nmbe_pct,primary/load_tracking/cv_rmse_pct,primary/thermal_comfort/portfolio_exceedance_pct
1,router_only,-6594.251504778862,0.5,1.2251149535179138,0.6012168228626251,0.6012168228626251,0.0033258492418099194,0.0,0.06027030935510993,0.00019112098962068558,0.0,0.0001,0.21845690831542014,0.2011508598923683,0.3035421647131443,0.13556041345000266,0.1412896629422903,-0.5354632449238813,36.36447465561465,23.311827956989248
2,router_only,-6454.201390028,0.503333330154419,1.218695205450058,0.6031433671712876,0.6031433671712876,0.00270726143498905,0.033759517967700936,0.05901492293924093,0.0003487194888293743,0.0,0.0001,0.2164520613849163,0.2042688515037298,0.3150602519512177,0.12068549953401089,0.14353334121406078,-0.4520271560303981,35.48592955971323,22.908602150537636
3,router_only,-6218.2350162267685,0.5066666603088379,1.200772899389267,0.6074534013867379,0.6074534013867379,0.0020125187176745383,0.0486896993592381,0.06843897211365402,0.0002838668413460255,0.0,0.0001,0.2111831944435835,0.20868553593754768,0.333792994171381,0.10160951483994722,0.14472876228392123,0.09278498369122161,34.875060976333764,21.89247311827957
4,router_only,-6133.083101570606,0.5099999904632568,1.1734163403511046,0.6136414110660553,0.6136414110660553,0.0014626359537942336,0.06442205235362056,0.07748645897954702,-0.00016615227214060723,0.0,0.0001,0.19837660677731037,0.2159268494695425,0.35876270830631257,0.08935973960906267,0.13757410049438476,0.6847429324020158,34.31328419691627,21.78494623655914
5,router_only,-5822.668720543385,0.5133333206176758,1.1414686530828475,0.6191913798451424,0.6191913798451424,0.0012223414407344535,0.0695836465805769,0.09672271441668272,-0.0006429415196180343,0.0,0.0001,0.18749012537300586,0.2285198874771595,0.38096149265766144,0.0789502166211605,0.12407828066498042,0.966560194260326,34.31090378150808,20.526881720430108
6,router_only,-5640.3504673838615,0.5166666507720947,1.107949087023735,0.6245852977037429,0.6245852977037429,0.0011212196375709027,0.05549215823411939,0.07777908407151699,-6.052134558558464e-05,0.0,0.0001,0.1811484295874834,0.23263972625136375,0.40458773374557494,0.07238761093467475,0.10923650376498699,1.369737004167089,33.32209506475722,19.956989247311828
7,router_only,-5504.435894429684,0.5199999809265137,1.0664270877838136,0.629383085668087,0.629383085668087,0.0016415903635788708,0.06318587046116594,0.11880916766822339,-0.001626883354038,0.0,0.0001,0.1688125256448984,0.22693213410675525,0.4361806705594063,0.06536694411188364,0.102707733027637,1.2879248512435133,34.14921720911138,19.333333333333332
8,router_only,-5400.042971432209,0.5233333110809326,1.0180947855114937,0.6363094091415405,0.6363094091415405,0.002505174485850148,0.07758895708248016,0.07063322402536869,-0.0010780012933537364,0.0,0.0001,0.16271447837352754,0.2068069502711296,0.4749751478433609,0.06030436707660556,0.09519906137138605,1.3904448604019066,33.45967389913399,19.005376344086024
9,router_only,-5505.211141765118,0.5266666412353516,0.9737517595291137,0.642481480538845,0.642481480538845,0.0037412550649605692,0.06168038016185164,0.06413133041933179,-0.0009553950862027704,0.0,0.0001,0.15890168361365795,0.18961928971111774,0.5058153383433819,0.05739116854965687,0.08827252555638551,1.417805990285253,32.56709459937104,19.553763440860212
10,router_only,-5580.311465501785,0.5299999713897705,0.9503800347447395,0.6451175540685654,0.6451175540685654,0.0042703489540144805,0.023945673462003422,0.06617326885461808,-0.0012506521306931973,0.0,0.0001,0.15609218627214433,0.1913164146244526,0.5160910546779632,0.05420183418318629,0.08229852505028248,1.396748086161205,32.4823686705838,19.688172043010752
